fuel_type,kms_run,sale_price,city,body_type,transmission,variant,registered_city,registered_state,rto,make,model,total_owners,car_rating,fitness_certificate,warranty_avail,age
diesel,111613,593099,noida,suv,manual,vdi,new delhi,delhi,dl6c,maruti,vitara brezza,1,great,True,False,5
diesel,98992,293999,noida,sedan,manual,1.5 exmt i dtec,noida,uttar pradesh,up16,honda,amaze,1,great,True,False,7
diesel,148526,514799,noida,hatchback,manual,sportz 1.4,noida,uttar pradesh,up16,hyundai,elite i20,1,great,True,False,4
diesel,103033,694599,noida,luxury sedan,manual,d 4d j,faridabad,haryana,hr29,toyota,corolla altis,1,great,True,False,7
diesel,194203,284099,noida,hatchback,manual,vdi,delhi,delhi,dl5c,maruti,swift,1,great,True,False,8
diesel,90959,1103827,noida,luxury suv,automatic,2.0 tdi,noida,uttar pradesh,up16,audi,q3,1,great,True,False,7
diesel,111562,844899,noida,suv,manual,2.5 vx 7 str bs iv,faridabad,haryana,hr51,toyota,innova,1,great,True,False,6
diesel,219642,264299,noida,sedan,manual,rxz,faridabad,haryana,hr29,renault,scala,1,good,True,False,8
petrol,11343,334899,noida,hatchback,manual,vxi,noida,uttar pradesh,up16,maruti,wagon r 1.0,1,great,True,False,6
petrol & cng,2510,346599,noida,hatchback,manual,lxi cng,noida,uttar pradesh,up16,maruti,alto 800,1,great,True,False,2
petrol,21784,240199,noida,hatchback,manual,vxi,bareilly,uttar pradesh,up25,maruti,alto k10,2,great,True,False,8
petrol,4279,341199,noida,hatchback,manual,rxt,new delhi,delhi,dl12,renault,kwid,1,great,True,False,2
petrol,11393,516599,noida,sedan,manual,lxi,bulandshahr,uttar pradesh,up13,maruti,dzire,1,great,True,False,2
petrol,11221,358099,noida,hatchback,missing,vxi opt. mt,noida,uttar pradesh,up16,maruti,alto k10,1,great,True,False,2
petrol,47405,360799,noida,sedan,manual,s mt petrol,delhi,delhi,dl3c,honda,city,1,great,True,False,11
petrol,43803,352799,noida,hatchback,manual,vxi,agra,uttar pradesh,up80,maruti,swift,1,great,True,False,8
petrol,24955,226199,noida,hatchback,manual,d lite plus,delhi,delhi,dl1c,hyundai,eon,1,great,True,False,8
petrol,34451,259999,noida,hatchback,manual,lxi,jhajjar,haryana,hr14,maruti,alto 800,1,great,True,False,5
petrol,40154,213999,noida,hatchback,manual,rxt,ghaziabad,uttar pradesh,up14,renault,kwid,1,great,True,False,5
petrol,37916,234099,noida,hatchback,manual,rxt,faridabad,haryana,hr29,renault,kwid,1,great,True,False,5
petrol,25826,488699,noida,hatchback,missing,sportz (o) 1.2 at vtvt,new delhi,delhi,dl3c,hyundai,grand i10,1,great,True,False,4
petrol & cng,38901,462899,noida,hatchback,missing,sportz(o) 1.2 mt,delhi,delhi,dl5c,hyundai,grand i10,1,great,True,False,4
petrol,39131,232999,noida,hatchback,manual,lxi,gurgaon,haryana,hr26,maruti,wagon r 1.0,1,great,True,False,9
diesel,28769,454599,noida,suv,manual,85 ps rxl opt,noida,uttar pradesh,up16,renault,duster,1,great,True,False,8
petrol,3212,394399,noida,hatchback,manual,vxi,delhi,delhi,dl2c,maruti,alto k10,1,great,True,False,3
petrol,14776,278199,noida,hatchback,manual,era plus,new delhi,delhi,dl5c,hyundai,eon,1,great,True,False,5
diesel,50647,349299,noida,hatchback,manual,vdi,delhi,delhi,dl3c,maruti,swift,2,great,True,False,8
petrol,21556,571299,noida,hatchback,missing,1.2 magna plus vtvt,auraiya,uttar pradesh,up79,hyundai,elite i20,1,great,True,False,2
petrol,48461,370599,noida,hatchback,manual,vxi,new delhi,delhi,dl12,maruti,swift,1,great,True,False,8
diesel,62476,317399,noida,hatchback,manual,vdi,goutam  budd  nagar,uttar pradesh,up16,maruti,swift,1,great,True,False,9
diesel,85779,332399,noida,hatchback,manual,xt 1.05 revotorq,delhi,delhi,dl1c,tata,tiago,2,great,True,False,4
petrol,20087,823499,noida,suv,manual,1.6 s,noida,uttar pradesh,up16,hyundai,creta,2,great,True,False,6
